0000 - *CLS             *CLS        :*CLS
0127 - FEND?            FEND?       :FUNCtion:WREPlay:FEND?
0128 - FSTart           FST         :FUNCtion:WREPlay:FSTart
0129 - FSTart?          FST?        :FUNCtion:WREPlay:FSTart?
012A - FMAX?            FMAX?       :FUNCtion:WREPlay:FMAX?
012B - INTerval         INT         :FUNCtion:WREPlay:INTerval
012C - INTerval?        INT?        :FUNCtion:WREPlay:INTerval?
012D - MODE             MODE        :FUNCtion:WREPlay:MODE
012E - MODE?            MODE?       :FUNCtion:WREPlay:MODE?
012F - OPERate          OPER        :FUNCtion:WREPlay:OPERate
0130 - OPERate?         OPER?       :FUNCtion:WREPlay:OPERate?
0131 - TTAG             TTAG        :FUNCtion:WREPlay:TTAG
0132 - TTAG?            TTAG?       :FUNCtion:WREPlay:TTAG?
0133 - CTAG?            CTAG?       :FUNCtion:WREPlay:CTAG?
0134 - FEND             FEND        :FUNCtion:WSAVe:FEND
0135 - FEND?            FEND?       :FUNCtion:WSAVe:FEND?
0136 - FSTart           FST         :FUNCtion:WSAVe:FSTart
0137 - FSTart?          FST?        :FUNCtion:WSAVe:FSTart?
0138 - LOCation         LOC         :FUNCtion:WSAVe:LOCation
0139 - LOCation?        LOC?        :FUNCtion:WSAVe:LOCation?
013A - WRMode           WRM         :FUNCtion:WRMode
013B - WRMode?          WRM?        :FUNCtion:WRMode?
013C - MODE             MODE        :FUNCtion:WANalyze:MODE
013D - MODE?            MODE?       :FUNCtion:WANalyze:MODE?
013E - SOURce           SOUR        :FUNCtion:WANalyze:SOURce
013F - SOURce?          SOUR?       :FUNCtion:WANalyze:SOURce?
0140 - FCURrent         FCUR        :FUNCtion:WANalyze:FCURrent
0141 - FCURrent?        FCUR?       :FUNCtion:WANalyze:FCURrent?
0142 - TDISp            TDIS        :FUNCtion:WANalyze:TDISp
0143 - TDISp?           TDIS?       :FUNCtion:WANalyze:TDISp?
0144 - SSTart           SST         :FUNCtion:WANalyze:SETup:SSTart
0145 - SSTart?          SST?        :FUNCtion:WANalyze:SETup:SSTart?
0146 - SSENd            SSEN        :FUNCtion:WANalyze:SETup:SSENd
0147 - SSENd?           SSEN?       :FUNCtion:WANalyze:SETup:SSENd?
0148 - SFRame           SFR         :FUNCtion:WANalyze:SETup:SFRame
0149 - SFRame?          SFR?        :FUNCtion:WANalyze:SETup:SFRame?
014A - EFRame           EFR         :FUNCtion:WANalyze:SETup:EFRame
014B - EFRame?          EFR?        :FUNCtion:WANalyze:SETup:EFRame?
014C - THReshold        THR         :FUNCtion:WANalyze:SETup:THReshold
014D - THReshold?       THR?        :FUNCtion:WANalyze:SETup:THReshold?
014E - XMASk            XMAS        :FUNCtion:WANalyze:SETup:XMASk
014F - XMASk?           XMAS?       :FUNCtion:WANalyze:SETup:XMASk?
0150 - YMASk            YMAS        :FUNCtion:WANalyze:SETup:YMASk
0151 - YMASk?           YMAS?       :FUNCtion:WANalyze:SETup:YMASk?
0152 - STEMplate        STEM        :FUNCtion:WANalyze:STEMplate
0153 - CMASk            CMAS        :FUNCtion:WANalyze:CMASk
0154 - STARt            STAR        :FUNCtion:WANalyze:STARt
0155 - CANCel           CANC        :FUNCtion:WANalyze:CANCel
0156 - PREVious         PREV        :FUNCtion:WANalyze:PREVious
0157 - NEXT             NEXT        :FUNCtion:WANalyze:NEXT
0158 - EFCount?         EFC?        :FUNCtion:WANalyze:EFCount?
0159 - ECURrent         ECUR        :FUNCtion:WANalyze:ECURrent
015A - ECURrent?        ECUR?       :FUNCtion:WANalyze:ECURrent?
015B - ECDiff?          ECD?        :FUNCtion:WANalyze:ECDiff?
015C - AREA             AREA        :HCOPy:AREA
015D - AREA?            AREA?       :HCOPy:AREA?
015E - MODE             MODE        :HCOPy:MODE
015F - MODE?            MODE?       :HCOPy:MODE?
0160 - FOOTer           FOOT        :HCOPy:FOOTer
0161 - FOOTer?          FOOT?       :HCOPy:FOOTer?
0162 - HEADer           HEAD        :HCOPy:HEADer
0163 - HEADer?          HEAD?       :HCOPy:HEADer?
0164 - INVert           INV         :HCOPy:INVert
0165 - INVert?          INV?        :HCOPy:INVert?
0166 - PALette          PAL         :HCOPy:PALette
0167 - PALette?         PAL?        :HCOPy:PALette?
0168 - COPies           COP         :HCOPy:PICTbridge:COPies
0169 - COPies?          COP?        :HCOPy:PICTbridge:COPies?
016A - DEFault          DEF         :HCOPy:PICTbridge:DEFault
016B - DPRint           DPR         :HCOPy:PICTbridge:DPRint
016C - DPRint?          DPR?        :HCOPy:PICTbridge:DPRint?
016D - ITYPe            ITYP        :HCOPy:PICTbridge:ITYPe
016E - ITYPe?           ITYP?       :HCOPy:PICTbridge:ITYPe?
016F - PSIZe            PSIZ        :HCOPy:PICTbridge:PSIZe
0170 - PSIZe?           PSIZ?       :HCOPy:PICTbridge:PSIZe?
0171 - QUALity          QUAL        :HCOPy:PICTbridge:QUALity
0172 - QUALity?         QUAL?       :HCOPy:PICTbridge:QUALity?
0173 - STARt            STAR        :HCOPy:PICTbridge:STARt
0175 - HPOSition        HPOS        :HCOPy:PREView:HPOSition
0176 - HPOSition?       HPOS?       :HCOPy:PREView:HPOSition?
0177 - VPOSition        VPOS        :HCOPy:PREView:VPOSition
0178 - VPOSition?       VPOS?       :HCOPy:PREView:VPOSition?
0179 - ZSCale           ZSC         :HCOPy:PREView:ZSCale
017A - ZSCale?          ZSC?        :HCOPy:PREView:ZSCale?
017B - PREView?         PREV?       :HCOPy:PREView?
017C - STARt            STAR        :HCOPy:STARt
017D - ACTive           ACT         :LA:ACTive
017E - ACTive?          ACT?        :LA:ACTive?
017F - DISPlay          DISP        :LA:DIGital<n>:DISPlay
0180 - DISPlay?         DISP?       :LA:DIGital<n>:DISPlay?
0181 - POSition         POS         :LA:DIGital<n>:POSition
0182 - POSition?        POS?        :LA:DIGital<n>:POSition?
0183 - SIZE             SIZE        :LA:DIGital<n>:SIZE
0184 - SIZE?            SIZE?       :LA:DIGital<n>:SIZE?
0185 - THReshold        THR         :LA:DIGital<n>:THReshold
0186 - THReshold?       THR?        :LA:DIGital<n>:THReshold?
0187 - DISPlay          DISP        :LA:POD<n>:DISPlay
0188 - DISPlay?         DISP?       :LA:POD<n>:DISPlay?
0189 - RESet            RES         :LA:POD<n>:RESet
018A - SIZE             SIZE        :LA:POD<n>:SIZE
018B - SIZE?            SIZE?       :LA:POD<n>:SIZE?
018C - THReshold        THR         :LA:POD<n>:THReshold
018D - THReshold?       THR?        :LA:POD<n>:THReshold?
018E - THReshold        THR         :LA:THReshold
018F - THReshold?       THR?        :LA:THReshold?
0190 - AUToip           AUT         :LAN:AUToip
0191 - AUToip?          AUT?        :LAN:AUToip?
0192 - DHCP             DHCP        :LAN:DHCP
0193 - DHCP?            DHCP?       :LAN:DHCP?
0194 - DNS              DNS         :LAN:DNS
0195 - DNS?             DNS?        :LAN:DNS?
0196 - GATeway          GAT         :LAN:GATeway
0197 - GATeway?         GAT?        :LAN:GATeway?
0198 - MAC?             MAC?        :LAN:MAC?
0199 - MANual           MAN         :LAN:MANual
019A - MANual?          MAN?        :LAN:MANual?
019B - INITiate         INIT        :LAN:INITiate
019C - APPLy            APPL        :LAN:APPLy
019D - IPADdress        IPAD        :LAN:IPADdress
019E - IPADdress?       IPAD?       :LAN:IPADdress?
019F - SMASk            SMAS        :LAN:SMASk
01A0 - PASSword         PASS        :LAN:PASSword
01A1 - PASSword?        PASS?       :LAN:PASSword?
01A2 - SMASk?           SMAS?       :LAN:SMASk?
01A3 - STATus?          STAT?       :LAN:STATus?
01A4 - VISA?            VISA?       :LAN:VISA?
01A5 - CREate           CRE         :MASK:CREate
01A6 - ENABle           ENAB        :MASK:ENABle
01A7 - ENABle?          ENAB?       :MASK:ENABle?
01A8 - MDISplay         MDIS        :MASK:MDISplay
01A9 - MDISplay?        MDIS?       :MASK:MDISplay?
01AA - OPERate          OPER        :MASK:OPERate
01AB - OPERate?         OPER?       :MASK:OPERate?
01AC - SOOutput         SOO         :MASK:SOOutput
01AD - SOOutput?        SOO?        :MASK:SOOutput?
01AE - SOURce           SOUR        :MASK:SOURce
01AF - SOURce?          SOUR?       :MASK:SOURce?
01B0 - OUTPut           OUTP        :MASK:OUTPut
01B1 - OUTPut?          OUTP?       :MASK:OUTPut?
01B2 - X                X           :MASK:X
01B3 - X?               X?          :MASK:X?
01B4 - Y                Y           :MASK:Y
01B5 - Y?               Y?          :MASK:Y?
01B6 - MODE             MODE        :MASK:MODE
01B7 - MODE?            MODE?       :MASK:MODE?
01B8 - PASSed?          PASS?       :MASK:PASSed?
01B9 - FAILed?          FAIL?       :MASK:FAILed?
01BA - TOTal?           TOT?        :MASK:TOTal?
01BB - RESet            RES         :MASK:RESet
01BC - GENerate         GEN         :MASK:GENerate
01BD - DATA?            DATA?       :MASK:DATA?
01BE - DATA             DATA        :MASK:DATA
01BF - ADISplay         ADIS        :MEASure:ADISplay
01C0 - ADISplay?        ADIS?       :MEASure:ADISplay?
01C1 - AREA             AREA        :MEASure:AREA
01C2 - AREA?            AREA?       :MEASure:AREA?
01C3 - CAX              CAX         :MEASure:CREGion:CAX
01C4 - CAX?             CAX?        :MEASure:CREGion:CAX?
01C5 - CBX              CBX         :MEASure:CREGion:CBX
01C6 - CBX?             CBX?        :MEASure:CREGion:CBX?
01C7 - CLEar            CLE         :MEASure:CLEar
01C8 - RECover          REC         :MEASure:RECover
01C9 - AMSource         AMS         :MEASure:AMSource
01CA - AMSource?        AMS?        :MEASure:AMSource?
01CB - VALue?           VAL?        :MEASure:COUNter:VALue?
01CC - SOURce           SOUR        :MEASure:COUNter:SOURce
01CD - SOURce?          SOUR?       :MEASure:COUNter:SOURce?
01CE - FDELay?          FDEL?       :MEASure:FDELay?
01CF - FPHase?          FPH?        :MEASure:FPHase?
01D0 - FREQuency?       FREQ?       :MEASure:FREQuency?
01D1 - FTIMe?           FTIM?       :MEASure:FTIMe?
01D2 - NDUTy?           NDUT?       :MEASure:NDUTy?
01D3 - NWIDth?          NWID?       :MEASure:NWIDth?
01D4 - OVERshoot?       OVER?       :MEASure:OVERshoot?
01D5 - PDUTy?           PDUT?       :MEASure:PDUTy?
